immigrant,birthyr,age,age4,gender3,gender3_other,race,race4,hispanic,educ,educ4,pid3,pid3_t,pid7,pid7others,TernovskyScreener2_1,TernovskyScreener2_2,TernovskyScreener2_3,TernovskyScreener2_4,TernovskyScreener2_5,inputstate,region,area,faminc_new,religpew,religpew_t,newsint,ideo7,votereg,votereg2,turnout20post,presvote20post,presvote20post_t,turnout22post,housevote22post,housevote22post_t,freeform,consent,rand_1_ranking,no_context_3_1,no_context_3_2,no_context_3_3,no_context_4_1,no_context_4_2,no_context_4_3,no_context_4_4,tate_order_q,anc_tate_1993_1,anc_tate_1993_2,anc_tate_1993_3,app_tate_1993_1,app_tate_1993_2,app_tate_1993_3,berinskyscreener_1,berinskyscreener_2,berinskyscreener_3,berinskyscreener_4,berinskyscreener_5,berinskyscreener_6,berinskyscreener_7,berinskyscreener_8,berinskyscreener_9,berinskyscreener_10,berinskyscreener_11,berinskyscreener_12,berinskyscreener_13,berinskyscreener_14,berinskyscreener_15,berinskyscreener_16,berinskyscreener_17,berinskyscreener_18,hopkins_order_q,identityhopkins_1,identityhopkins_2,identityhopkins_3,identityhopkins_4,app_identity_1,app_identity_2,app_identity_3,app_identity_4,rand_2_ranking,alpha_1,alpha_2,alpha_3,alpha_4,exact_1,exact_2,exact_3,exact_4,hobbies_1,hobbies_2,hobbies_3,hobbies_4,hobbies_5,hobbies_6,hobbies_7,hobbies_8,hobbies_t,socialize,polarization_order_q,holidays_1,holidays_2,holidays_3,holidays_4,holidays_5,appaffectivepolar_1,appaffectivepolar_2,appaffectivepolar_3,appaffectivepolar_4,appaffectivepolar_5,apsa_order_q,esystems_1,esystems_2,esystems_3,esystems_4,esystems_5,esystems_6,esystems_app_1,esystems_app_2,esystems_app_3,esystems_app_4,esystems_app_5,esystems_app_6,rand_3_ranking,esalphabet_1,esalphabet_2,esalphabet_3,esalphabet_4,esalphabet_5,esalphabet_6,estemporal_1,estemporal_2,estemporal_3,estemporal_4,estemporal_5,estemporal_6,rand_4_ranking,rand_5_ranking,app_tate_1993_repeat_1,app_tate_1993_repeat_2,app_tate_1993_repeat_3,app_identity_repeat_1,app_identity_repeat_2,app_identity_repeat_3,app_identity_repeat_4,appaffectivepolar_repeat_1,appaffectivepolar_repeat_2,appaffectivepolar_repeat_3,appaffectivepolar_repeat_4,appaffectivepolar_repeat_5,esystems_app_repeat_1,esystems_app_repeat_2,esystems_app_repeat_3,esystems_app_repeat_4,esystems_app_repeat_5,esystems_app_repeat_6,police,reform,gun,abortion,environment,respondent_status,caseid,period,version,exit_status,disposition,last_page
,,,,,__NA__,,,,,,,__NA__,,,,,,,,,,,,,__NA__,,,,,,,__NA__,,,__NA__,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1176790288,542485,1,,Incomplete,
,,,,,__NA__,,,,,,,__NA__,,,,,,,,,,,,,__NA__,,,,,,,__NA__,,,__NA__,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177095076,542485,1,,Incomplete,
,,,,,__NA__,,,,,,,__NA__,,,,,,,,,,,,,__NA__,,,,,,,__NA__,,,__NA__,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177095192,542485,1,,Incomplete,
,,,,,__NA__,,,,,,,__NA__,,,,,,,,,,,,,__NA__,,,,,,,__NA__,,,__NA__,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177433244,542485,1,,Incomplete,
,,,,,__NA__,,,,,,,__NA__,,,,,,,,,,,,,__NA__,,,,,,,__NA__,,,__NA__,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177433288,542485,1,,Incomplete,
,,,,,__NA__,,,,,,,__NA__,,,,,,,,,,,,,__NA__,,,,,,,__NA__,,,__NA__,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177435466,542485,1,,Incomplete,
Third generation,1920,102,65+,Man,__NA__,White,Hispanic,Yes,No HS,HS or less,Democrat,__NA__,Strong Democrat,,selected,selected,not selected,not selected,not selected,,,,,,__NA__,,,,,,,__NA__,,,__NA__,__NA__,Agree,Question 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete,1177435692,542485,1,,Incomplete,implicit_page_rand_1_ranking
First generation,1920,102,65+,Man,__NA__,Other,Other,No,Post-grad,Postgrad,Not sure,__NA__,Not sure,Not sure,not selected,not selected,not selected,not selected,selected,,,,,,__NA__,,,,,,,__NA__,,,__NA__,__NA__,Agree,Question 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete,1177470328,542485,1,,Incomplete,implicit_page_rand_1_ranking
,,,,,__NA__,,,,,,,__NA__,,,,,,,,,,,,,__NA__,,,,,,,__NA__,,,__NA__,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177470460,542485,1,,Incomplete,
,,,,,__NA__,,,,,,,__NA__,,,,,,,,,,,,,__NA__,,,,,,,__NA__,,,__NA__,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177471268,542485,1,,Incomplete,
Third generation,,,,,__NA__,,,,,,,__NA__,,,,,,,,,,,,,__NA__,,,,,,,__NA__,,,__NA__,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177095070,542485,1,screenout,Incomplete,implicit_page_1
Third generation,,,,,__NA__,,,,,,,__NA__,,,,,,,,,,,,,__NA__,,,,,,,__NA__,,,__NA__,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177433240,542485,1,screenout,Incomplete,implicit_page_1
First generation,,,,,__NA__,,,,,,,__NA__,,,,,,,,,,,,,__NA__,,,,,,,__NA__,,,__NA__,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177433262,542485,1,screenout,Incomplete,implicit_page_1
Immigrant Citizen,,,,,__NA__,,,,,,,__NA__,,,,,,,,,,,,,__NA__,,,,,,,__NA__,,,__NA__,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177433276,542485,1,screenout,Incomplete,implicit_page_1
Immigrant Citizen,,,,,__NA__,,,,,,,__NA__,,,,,,,,,,,,,__NA__,,,,,,,__NA__,,,__NA__,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177435044,542485,1,screenout,Incomplete,implicit_page_1
Immigrant Citizen,1990,32,30-44,Man,__NA__,Black,Black,No,Some college,Some college,Republican,__NA__,Not very strong Republican,,selected,selected,not selected,not selected,not selected,Arkansas,,Rural,"$20,000 - $29,999",Eastern or Greek Orthodox,__NA__,Some of the time,Moderate,Don't know,,No,Did not vote for President,__NA__,No,Did not vote for U.S. House,__NA__,He,Agree,Question 1,2,3,1,,,,,Anc Tate - App Tate,2,3,1,1,2,3,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,Identity 1 - Identity 2,4,1,3,2,2,4,3,1,Question 2,,,,,3,2,4,1,not selected,not selected,not selected,selected,selected,not selected,not selected,not selected,__NA__,Every day,Polarization 1 - Polarization 2,1,2,3,4,5,2,4,5,1,3,Goals of Elections - Electoral Systems,1,2,3,5,4,6,4,5,6,2,3,1,Question 2,,,,,,,1,2,3,4,5,6,Question 2,Question 1,3,1,2,,,,,,,,,,,,,,,,Support,Support,Support,Support,Oppose,Complete,1177435472,542485,1,,Complete,implicit_page_freeform
Immigrant non-citizen,,,,,__NA__,,,,,,,__NA__,,,,,,,,,,,,,__NA__,,,,,,,__NA__,,,__NA__,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,__NA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177437240,542485,1,turbosample,Complete,immigrant_screen_out_page
Immigrant Citizen,1920,102,65+,Woman,__NA__,Black,Black,No,High school graduate,HS or less,Republican,__NA__,Not very strong Republican,,not selected,selected,selected,not selected,not selected,Florida,,Suburban,"$30,000 - $39,999",Hindu,__NA__,Hardly at all,Don't know,No,,No,Did not vote for President,__NA__,No,Did not vote for U.S. House,__NA__,nothing,Agree,Question 1,2,1,3,,,,,Anc Tate - App Tate,1,2,3,1,2,3,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,Identity 2 - Indentity 1,1,4,2,3,2,1,3,4,Question 2,,,,,3,4,2,1,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,__NA__,3-4 days,Polarization 2 - Polarization 1,2,5,3,1,4,5,2,4,3,1,Electoral Systems - Goals of Elections,4,5,2,3,1,6,5,6,3,1,2,4,Question 2,,,,,,,5,4,2,1,6,3,Question 3,Question 2,,,,3,2,4,1,5,2,4,1,3,,,,,,,Oppose,Oppose,Oppose,Oppose,Support,Complete,1177437254,542485,1,,Complete,implicit_page_freeform